id,name,category,one_liner,problem,burn,software_native,ship_speed,distribution,moat,total,priority,visibility,paid_layer,status,stage,platforms,repo,tags,notes,last_reviewed
P01,instruct-sync,AI Tooling,"Sync AI coding rules/instructions across Cursor, Copilot, Claude, Windsurf, Aider, Gemini, Continue",Every AI coding agent uses different rules files; they drift and teams lose consistency.,5,5,5,5,3,23,NOW,OPEN-CORE,Pro team sync + policy ($8–15/dev/mo),Public beta,Shipped / iterate,CLI,instruct-sync,"AI,CLI,devtools,rules,sync,suite",npm ai-instruct-sync@0.2.0-beta.0; hygiene suite #1 (sync); primary NOW product,2026-07-11
P02,ai-setup-doctor,AI Tooling,"Read-only diagnostics for agents, MCP, secrets, Node/project hygiene before AI coding sessions","Broken MCP, leaked secrets in agent configs, bloated rules, and project hygiene waste hours.",5,5,5,4,3,22,NOW,OPEN-CORE,Hosted CI checks tier,Published beta,Shipped / iterate,CLI,ai-setup-doctor,"AI,CLI,diagnostics,MCP,secrets,suite",npm ai-setup-doctor@0.1.0-beta.0 (latest+beta); hygiene suite #2 (diagnose),2026-07-11
P03,mcp-sync,AI Tooling,"Canonical MCP server config sync across Cursor, Claude, VS Code, Windsurf clients",MCP server JSON configs diverge per client; env vars and secrets get copy-pasted unsafely.,4,5,5,4,3,21,NOW,OPEN-CORE,Org-wide MCP catalog ($12/seat),Published,Shipped / iterate,"CLI,API",mcp-sync,"AI,MCP,CLI,config,suite",npm mcp-config-sync@0.2.0 + @bhaskarauthor/mcp-sync; hygiene suite #3; co-located at development/mcp-sync (own git remote),2026-07-11
P04,secret-guard,AI Tooling / Security,"Pre-commit and CI guard against secrets leaking into AI agent rules, MCP env, and prompts","API keys land in .cursor, CLAUDE.md, MCP env blocks, and chat exports.",5,5,4,4,3,21,NOW,OPEN-CORE,Team dashboard + SARIF CI ($15–40/dev/mo),Concept,Research,"CLI,Extension,API",secret-guard,"security,secrets,AI,CI",Can extract patterns from setup-doctor secret checks,2026-07-11
P05,llm-spend,AI Tooling / FinOps,"Unified LLM cost, token, and budget observability across OpenAI, Anthropic, Google, Azure, open models",Teams burn LLM budget with zero allocation visibility by project/user/feature.,5,5,3,3,3,19,NEXT,PRIVATE-PAID,SaaS usage tiers ($49–299/mo),Concept,Research,"Web,API,CLI",llm-spend,"AI,FinOps,observability,cost",Superseded for NOW by P30 agent-spend-guard (guardrails wedge); keep as broad-platform LATER path,2026-07-11
P06,skill-sync,AI Tooling,"Package, version, and sync agent skills/tools/prompts like packages across teams",Custom agent skills and prompt packs are copy-pasted Slackware with no versions.,3,5,3,3,4,18,NEXT,OPEN-CORE,Private registry ($99+/mo),Concept,Watch,"CLI,API,Web",skill-sync,"AI,skills,registry,devtools","Depends on skills format maturity (Claude skills, custom tools)",2026-07-11
P07,shadow-AI,AI Tooling / Security / GRC,"Discover unauthorized AI tools, browser extensions, and SaaS usage across the enterprise",Employees paste company data into consumer ChatGPT/Claude without IT visibility.,5,4,2,2,3,16,NEXT,PRIVATE-PAID,Enterprise per-seat SaaS,Concept,Research,"Web,Extension,API",shadow-ai,"security,GRC,CASB,AI",Enterprise sales motion; not indie-friendly,2026-07-11
P08,eval-harness,AI Tooling,Lightweight eval harness for prompt/agent regression tests in CI for product teams,Prompt changes break behavior silently; full ML platforms are overkill for app teams.,4,5,3,3,3,18,NEXT,OPEN-CORE,Cloud runs ($29–199/mo),Concept,Research,"CLI,API,Web",eval-harness,"AI,eval,testing,CI",Compete on simplicity vs LangSmith/Promptfoo,2026-07-11
P09,auth-anomaly-radar,Security / Identity / Fraud,"Lightweight auth anomaly detection for SaaS (impossible travel, credential stuffing signals)",SMBs enable Auth0/Cognito but lack fraud signals without enterprise SIEM.,4,5,3,2,3,17,NEXT,PRIVATE-PAID,MAU-based SaaS,Concept,Research,"API,Web",auth-anomaly-radar,"security,identity,fraud,SaaS",Integrate as webhook consumer for auth providers,2026-07-11
P10,fraud-signal-kit,Security / Identity / Fraud,"Composable fraud signal APIs (device, velocity, email risk) for Indian fintech and marketplaces",India digital payments fraud needs local signal stacks cheaper than global suites.,4,4,2,2,3,15,LATER,PRIVATE-PAID,Usage-priced API,Concept,Watch,API,fraud-signal-kit,"fraud,fintech,India,API",Regulatory/compliance heavy; partner path,2026-07-11
P11,cloud-waste-radar,Cloud FinOps,Find idle cloud resources and rightsizing opportunities for AWS/GCP/Azure startups,Surveys classically cite ~30% cloud waste; startups overprovision without FinOps staff.,4,5,3,3,2,17,NEXT,PRIVATE-PAID,SaaS + savings share,Concept,Research,"Web,CLI,API",cloud-waste-radar,"FinOps,cloud,AWS,cost",Crowded but SMB pricing gap exists,2026-07-11
P12,dev-onboard-os,Dev Productivity,"Opinionated new-hire engineering onboarding OS: env, access, docs, first PR in days not weeks",Onboarding still tribal; new engineers lose 2–4 weeks to setup and tribal knowledge.,3,4,3,3,2,15,LATER,PRIVATE-PAID,Seat SaaS,Concept,Watch,"Web,CLI",dev-onboard-os,"onboarding,devtools,productivity",Overlaps DX platforms; hard differentiation,2026-07-11
P13,sbom-lite,Security / Supply Chain,"Zero-friction SBOM generate, diff, and policy gate for npm/PyPI/Go in CI",Executive orders and enterprise buyers demand SBOMs; SMBs find tools heavy.,3,5,4,3,2,17,NEXT,OPEN-CORE,Policy hub SaaS ($99+/mo),Concept,Research,"CLI,API",sbom-lite,"SBOM,security,supply-chain,CI",Syft/Grype ecosystem strong; need UX wedge,2026-07-11
P14,grc-evidence-autopilot,Compliance / GRC,"Auto-collect compliance evidence (access logs, policies, screenshots) for SOC2/ISO startups",SOC2 prep is spreadsheet hell; evidence collection is continuous toil.,4,4,2,2,3,15,LATER,PRIVATE-PAID,SaaS,Concept,Watch,"Web,API",grc-evidence-autopilot,"GRC,SOC2,compliance,SaaS","Crowded (Vanta, Drata); India cost wedge possible",2026-07-11
P15,wa-ops-desk,India SMB / WhatsApp Ops,"WhatsApp-first ops desk for Indian SMBs: orders, FAQs, staff routing, CRM lite",Indian SMBs live on WhatsApp; Excel + personal phones do not scale multi-staff.,5,4,3,4,2,18,NEXT,PRIVATE-PAID,INR SaaS tiers,Concept,Research,"Web,Android,API",wa-ops-desk,"India,SMB,WhatsApp,CRM",Meta BSP dependency; regulatory/pricing constraints,2026-07-11
P16,gst-ops-copilot,India SMB / Fintech,"GST filing prep copilot: invoice hygiene, GSTR mismatch alerts, CA handoff packs",SMEs struggle with invoice data quality and GSTR mismatches before CA filing.,4,4,2,3,3,16,NEXT,PRIVATE-PAID,SaaS + CA white-label,Concept,Watch,"Web,API",gst-ops-copilot,"India,GST,fintech,SMB,compliance",Heavy domain + API/partner dependencies,2026-07-11
P17,appt-book-india,India SMB / Appointments,"Lightweight appointment booking with WhatsApp reminders for salons, tutors, clinics lite",No-shows and phone tag; Calendly-class tools not localized/priced for Bharat SMB.,4,4,4,4,2,18,NEXT,PRIVATE-PAID,INR SaaS,Concept,Research,"Web,Android,API",appt-book-india,"India,SMB,booking,WhatsApp",Can share stack with clinic/WA products,2026-07-11
P18,clinic-admin-lite,India SMB / Health Ops,"Clinic admin lite: appointments, patient ledger, Rx print, WhatsApp follow-ups for small practices",Small Indian clinics still paper/Excel; full HMS is overkill and expensive.,4,4,3,3,2,16,NEXT,PRIVATE-PAID,SaaS,Concept,Research,"Web,Android",clinic-admin-lite,"health,India,SMB,clinic",Health data sensitivity; start non-diagnostic admin only,2026-07-11
P19,learn-loop,Education,Spaced-repetition + cohort homework OS for coaching institutes and online tutors,"Tutors lack simple tool for assignments, revision loops, and parent updates.",3,4,3,3,2,15,LATER,PRIVATE-PAID,SaaS,Concept,Watch,"Web,Android,iOS",learn-loop,"edtech,tutors,India,SRS",Edtech crowded; niche tutor OS possible,2026-07-11
P20,cyber-smb-shield,Cyber / SMB,"Managed cybersecurity starter pack for SMBs: DNS filter, phishing drills, backup check, score",SMBs are ransomware targets but cannot staff a SOC.,4,3,2,2,2,13,LATER,PRIVATE-PAID,SaaS + MSSP channel,Concept,Watch,"Web,API",cyber-smb-shield,"cyber,SMB,MSSP,security",Services-heavy; partner with MSSPs,2026-07-11
P21,data-quality-guard,Data Quality,Pipeline data quality checks as code with anomaly alerts for analytics teams,Silent data breakage destroys dashboards; Great Expectations-class tools feel heavy.,3,5,3,2,2,15,LATER,PRIVATE-PAID,SaaS,Concept,Watch,"CLI,API,Web",data-quality-guard,"data,quality,analytics,observability","Crowded (GE, Monte Carlo, Soda)",2026-07-11
P22,care-companion,Consumer Care,"Family care coordination app: meds, appointments, shared notes for elders",Adult children coordinate elder care over chaotic WhatsApp groups.,3,3,3,2,2,13,LATER,PRIVATE-PAID,Consumer subscription,Concept,Watch,"iOS,Android,Web",care-companion,"consumer,health,family,care",Emotional domain; trust & retention hard,2026-07-11
P23,personal-crm,Personal CRM,"Privacy-first personal CRM for founders: follow-ups, context notes, birthday nudges",LinkedIn is not a relationship system; people forget follow-ups.,3,4,4,3,2,16,NEXT,PRIVATE-PAID,Consumer SaaS,Concept,Research,"Web,iOS,Desktop",personal-crm,"CRM,productivity,personal,privacy",Many indie apps; differentiation via privacy + AI summarize,2026-07-11
P24,creator-ops,Creator Ops,"Ops OS for mid-tier creators: content calendar, sponsor CRM, asset vault, analytics rollup",Creators juggle Notion + Sheets + Drive + native analytics without an ops spine.,3,4,3,3,2,15,LATER,PRIVATE-PAID,SaaS,Concept,Watch,Web,creator-ops,"creator,ops,media,SaaS",Crowded creator tooling,2026-07-11
P25,climate-ops-meter,Climate / ESG,Lightweight Scope 1–3 carbon estimate and supplier survey tool for mid-market exporters,Exporters face ESG questionnaires without enterprise sustainability teams.,3,4,2,2,2,13,LATER,PRIVATE-PAID,SaaS + services,Concept,Watch,Web,climate-ops-meter,"climate,ESG,carbon,compliance",Methodology trust critical,2026-07-11
P26,supply-chain-visibility-lite,Supply Chain,Lite multi-tier supplier status & risk notes for SMEs without SAP budgets,SMEs lack visibility beyond tier-1 suppliers; enterprise SC tools are overkill.,3,3,2,2,2,12,LATER,PRIVATE-PAID,SaaS,Concept,Watch,"Web,API",sc-visibility-lite,"supply-chain,SME,risk",Data acquisition is the product,2026-07-11
P27,focus-forge,Focus / Productivity Apps,Deep-work OS: site blocker + session goals + AI weekly review for knowledge workers,Attention fragmentation; existing blockers lack outcome review loops.,3,4,4,3,1,15,LATER,PRIVATE-PAID,Consumer subscription,Concept,Watch,"Desktop,Extension,iOS",focus-forge,"productivity,focus,consumer",App store graveyard risk; lifestyle product,2026-07-11
P28,api-contract-sentinel,Dev Productivity / Quality,Detect breaking API contract changes in PRs with consumer impact maps,Microservices break silent consumers; OpenAPI drift is common.,3,5,3,3,2,16,NEXT,OPEN-CORE,Org tier ($99+/mo),Concept,Watch,"CLI,API,Extension",api-contract-sentinel,"API,OpenAPI,CI,devtools","Overlaps Optic, SwaggerHub, Spectral",2026-07-11
P29,agent-skill-scan,AI Tooling / Security,"One-command security audit of installed agent skills, MCP servers, and rules files (prompt injection, malicious payloads, secret exfil)",Marketplace agent skills/MCP servers ship malicious payloads; audits found 36.8% of skills flawed and 71% of MCP servers graded F.,5,5,5,5,3,23,NOW,OPEN-CORE,Paid GitHub Action + org policy ($15–40/dev/mo),Concept,Design / build next,"CLI,API",agent-skill-scan,"AI,security,MCP,skills,supply-chain,suite",Hygiene suite #4 (secure); rides ToxicSkills wave; reuses setup-doctor config parsers,2026-07-11
P30,agent-spend-guard,AI Tooling / FinOps,"Per-dev, per-project token budgets with hard kill-switch for Claude Code, Cursor, and API agents","Teams blow annual AI token budgets in months (Uber by April 2026); dashboards report after the fact, nothing enforces.",5,5,4,4,3,21,NOW,OPEN-CORE,Team budgets + policy ($10–15/dev/mo),Concept,Design,"CLI,API,Web",agent-spend-guard,"AI,FinOps,budget,guardrails,tokens,suite",Hygiene suite #5 (control spend); sharper guardrails wedge that supersedes P05 for NOW,2026-07-11
P31,indic-voice-flow,Consumer AI / Voice,Wispr Flow-class voice dictation for Hinglish and Indic languages — desktop hotkey + Android keyboard,English-first dictation fails code-switched Hinglish/Indic scripts; Indian professionals type far slower than they speak.,4,4,2,3,3,16,NEXT,PRIVATE-PAID,Consumer subscription (₹299–499/mo),Concept,Research,"Desktop,Android,iOS",indic-voice-flow,"voice,India,consumer,dictation,ASR",The Wispr-Flow-style revenue play; don't compete in English — own Hinglish. Needs cofounder or dedicated cycle.,2026-07-11
P32,pr-triage,Dev Productivity / Quality,Risk-rank AI-generated PR diffs so humans review the 20% that actually matters,"Developers now spend 11.4 hrs/week reviewing AI code vs 9.8 writing; 66% cite 'almost right, but not quite' as top frustration.",5,5,3,3,2,18,NEXT,OPEN-CORE,Org tier ($99+/mo),Concept,Watch,"CLI,API,Extension",pr-triage,"AI,code-review,CI,devtools",Big pain but CodeRabbit/Greptile/GitHub converging; watch for a hunk-level triage wedge,2026-07-11
